------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:56:56 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:57:36 (uptime: 0d, 00h 00m 55s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 854
decoder.pkts                                  | Total                     | 878
decoder.bytes                                 | Total                     | 329306
decoder.ipv4                                  | Total                     | 134
decoder.ipv6                                  | Total                     | 740
decoder.ethernet                              | Total                     | 878
decoder.arp                                   | Total                     | 4
decoder.tcp                                   | Total                     | 759
tcp.syn                                       | Total                     | 11
tcp.synack                                    | Total                     | 11
tcp.rst                                       | Total                     | 16
decoder.udp                                   | Total                     | 82
decoder.icmpv6                                | Total                     | 33
decoder.avg_pkt_size                          | Total                     | 375
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 11
flow.total                                    | Total                     | 59
flow.active                                   | Total                     | 55
flow.tcp                                      | Total                     | 24
flow.udp                                      | Total                     | 29
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 11
tcp.ssn_from_pool                             | Total                     | 11
tcp.segment_from_pool                         | Total                     | 135
detect.alert                                  | Total                     | 32
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 10
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 21
app_layer.tx.dns_udp                          | Total                     | 49
app_layer.flow.failed_udp                     | Total                     | 7
flow.end.state.new                            | Total                     | 4
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9204
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 65
flow.mgr.flows_notimeout                      | Total                     | 61
flow.mgr.flows_timeout                        | Total                     | 4
flow.mgr.flows_evicted                        | Total                     | 4
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 4
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1054720
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:57:44 (uptime: 0d, 00h 01m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1011
decoder.pkts                                  | Total                     | 1011
decoder.bytes                                 | Total                     | 369680
decoder.ipv4                                  | Total                     | 224
decoder.ipv6                                  | Total                     | 783
decoder.ethernet                              | Total                     | 1011
decoder.arp                                   | Total                     | 4
decoder.tcp                                   | Total                     | 872
tcp.syn                                       | Total                     | 15
tcp.synack                                    | Total                     | 15
tcp.rst                                       | Total                     | 18
decoder.udp                                   | Total                     | 102
decoder.icmpv6                                | Total                     | 33
decoder.avg_pkt_size                          | Total                     | 365
